query_id	entity_id	entity_type	genre	web_search?	wiki_text?	unknown?
EDL14_ENG_0001	E0351249	GPE	WB	N	N	N
EDL14_ENG_0002	E0679687	GPE	NW	N	N	N
EDL14_ENG_0003	E0748134	ORG	WB	N	N	N
EDL14_ENG_0004	NIL0001	ORG	NW	N	Y	N
EDL14_ENG_0005	E0124100	ORG	WB	Y	N	N
EDL14_ENG_0006	E0336700	GPE	NW	N	N	N
EDL14_ENG_0007	NIL0002	PER	DF	N	N	Y
EDL14_ENG_0008	E0678331	PER	WB	N	Y	N
EDL14_ENG_0010	E0173529	ORG	DF	N	N	N
EDL14_ENG_0011	NIL0004	PER	DF	N	N	Y
EDL14_ENG_0013	NIL0005	PER	DF	N	N	Y
EDL14_ENG_0014	E0139185	ORG	NW	N	N	N
EDL14_ENG_0015	E0679687	GPE	WB	N	N	N
EDL14_ENG_0016	NIL0006	PER	DF	N	N	Y
EDL14_ENG_0018	NIL0007	PER	DF	N	N	Y
EDL14_ENG_0019	NIL0008	GPE	NW	N	N	N
EDL14_ENG_0020	NIL0009	PER	WB	N	N	Y
EDL14_ENG_0021	E0440272	GPE	WB	N	Y	N
EDL14_ENG_0022	E0382887	GPE	WB	N	N	N
EDL14_ENG_0023	E0323558	PER	DF	N	Y	N
EDL14_ENG_0024	NIL0010	PER	NW	Y	Y	N
EDL14_ENG_0025	E0466642	GPE	DF	N	Y	N
EDL14_ENG_0026	E0643782	GPE	NW	N	N	N
EDL14_ENG_0027	NIL0011	PER	WB	N	Y	N
EDL14_ENG_0028	E0759127	PER	DF	N	N	N
EDL14_ENG_0029	E0793722	GPE	WB	N	N	N
EDL14_ENG_0030	E0596701	GPE	NW	N	Y	N
EDL14_ENG_0031	E0066984	PER	NW	Y	Y	N
EDL14_ENG_0032	NIL0012	PER	NW	N	Y	N
EDL14_ENG_0033	NIL0013	PER	DF	N	N	Y
EDL14_ENG_0034	E0771566	PER	WB	N	N	N
EDL14_ENG_0035	NIL0014	PER	WB	Y	N	N
EDL14_ENG_0036	E0731783	PER	DF	N	N	N
EDL14_ENG_0037	E0550909	GPE	NW	N	N	N
EDL14_ENG_0038	NIL0015	PER	WB	N	N	Y
EDL14_ENG_0039	E0511707	ORG	WB	N	N	N
EDL14_ENG_0040	E0256599	PER	DF	N	N	N
EDL14_ENG_0041	NIL0016	PER	WB	Y	Y	N
EDL14_ENG_0042	NIL0017	ORG	WB	Y	N	N
EDL14_ENG_0043	E0068419	GPE	NW	N	N	N
EDL14_ENG_0044	E0807166	PER	DF	N	Y	N
EDL14_ENG_0045	NIL0018	ORG	NW	Y	Y	N
EDL14_ENG_0046	E0580325	PER	DF	N	N	N
EDL14_ENG_0047	NIL0019	PER	WB	N	N	Y
EDL14_ENG_0048	E0044267	ORG	NW	N	N	N
EDL14_ENG_0049	E0777095	ORG	NW	N	Y	N
EDL14_ENG_0050	E0525761	GPE	WB	N	Y	N
EDL14_ENG_0051	NIL0020	PER	DF	Y	Y	N
EDL14_ENG_0052	NIL0021	PER	DF	N	N	Y
EDL14_ENG_0053	E0381881	GPE	WB	N	N	N
EDL14_ENG_0054	E0116532	GPE	WB	N	N	N
EDL14_ENG_0055	E0328124	GPE	NW	N	N	N
EDL14_ENG_0056	E0696372	GPE	WB	N	Y	N
EDL14_ENG_0057	NIL0022	PER	NW	Y	Y	N
EDL14_ENG_0058	NIL0023	PER	WB	N	N	Y
EDL14_ENG_0059	E0742724	PER	NW	N	N	N
EDL14_ENG_0060	NIL0024	PER	WB	N	N	Y
EDL14_ENG_0061	E0543242	PER	DF	N	Y	N
EDL14_ENG_0062	NIL0004	PER	DF	N	N	Y
EDL14_ENG_0063	NIL0025	PER	DF	N	N	Y
EDL14_ENG_0064	NIL0026	PER	NW	N	N	N
EDL14_ENG_0065	E0731783	PER	DF	N	N	N
EDL14_ENG_0066	E0718219	ORG	WB	N	Y	N
EDL14_ENG_0067	NIL0027	PER	WB	N	Y	N
EDL14_ENG_0068	NIL0028	GPE	NW	N	N	N
EDL14_ENG_0069	E0007731	ORG	NW	N	Y	N
EDL14_ENG_0071	E0037522	GPE	WB	N	Y	N
EDL14_ENG_0072	E0603224	GPE	DF	N	N	N
EDL14_ENG_0073	NIL0029	PER	WB	Y	N	Y
EDL14_ENG_0074	NIL0030	PER	WB	N	N	Y
EDL14_ENG_0075	E0713150	PER	WB	N	Y	N
EDL14_ENG_0077	NIL0031	PER	DF	N	Y	Y
EDL14_ENG_0078	E0351249	GPE	WB	N	N	N
EDL14_ENG_0079	NIL0032	GPE	NW	N	N	N
EDL14_ENG_0080	NIL0033	PER	NW	N	Y	N
EDL14_ENG_0081	E0240157	GPE	NW	N	Y	N
EDL14_ENG_0082	E0240157	GPE	NW	N	Y	N
EDL14_ENG_0083	NIL0034	PER	DF	N	N	Y
EDL14_ENG_0084	NIL0035	ORG	DF	N	Y	N
EDL14_ENG_0085	NIL0036	PER	WB	N	N	N
EDL14_ENG_0086	E0733348	PER	DF	Y	Y	N
EDL14_ENG_0087	NIL0037	PER	WB	N	N	Y
EDL14_ENG_0088	E0213562	PER	NW	N	N	N
EDL14_ENG_0089	NIL0038	PER	DF	N	Y	N
EDL14_ENG_0090	E0212023	PER	DF	Y	Y	N
EDL14_ENG_0091	E0065870	GPE	DF	N	Y	N
EDL14_ENG_0092	E0606950	PER	DF	N	N	N
EDL14_ENG_0093	NIL0039	PER	DF	N	N	Y
EDL14_ENG_0094	E0514805	PER	NW	N	N	N
EDL14_ENG_0095	NIL0040	PER	WB	N	Y	N
EDL14_ENG_0096	E0375368	PER	DF	N	Y	N
EDL14_ENG_0097	NIL0041	GPE	NW	N	N	N
EDL14_ENG_0098	E0338923	ORG	WB	N	Y	N
EDL14_ENG_0099	NIL0042	PER	NW	N	Y	N
EDL14_ENG_0100	NIL0043	PER	WB	N	N	Y
EDL14_ENG_0101	NIL0044	ORG	WB	N	Y	N
